animal_type,breed,temperature,heart_rate,respiration_rate,symptom_fever,symptom_cough,symptom_loss_appetite,symptom_weakness,symptom_nasal_discharge,symptom_diarrhea,disease
1,3,102.5,80,30,1,0,1,1,0,1,3
1,2,101.8,75,28,1,1,1,0,1,0,5
2,4,103.2,110,35,1,1,1,1,1,0,4
2,1,102.0,95,32,1,1,0,1,0,0,0
3,0,104.1,85,34,1,1,1,1,1,0,5
3,5,103.5,88,33,1,0,1,1,0,1,1
0,6,102.2,120,30,1,1,0,1,1,0,6
0,7,101.5,115,28,0,1,1,0,1,0,2
1,3,103.0,82,31,1,0,1,1,0,1,3
2,4,104.0,112,36,1,1,1,1,1,1,4
3,0,102.8,83,29,1,0,1,0,0,1,1
0,6,101.9,118,29,0,1,1,0,1,0,2
1,2,102.3,77,30,1,1,0,1,1,0,5
2,1,103.4,108,34,1,1,1,1,1,0,0
3,5,103.2,86,32,1,0,1,1,0,1,1
0,7,102.1,117,30,1,1,0,1,1,0,6
